ID,RO_ID,RA_FILE_DETAILS_ID,RA_ROSTER_DETAILS_ID,RA_PLM_RO_PROF_DATA_ID,SRC_SYS,ORG_NM,CNT_STATE,LOB,RUN_NO,FILE_STATUS_CD,LATEST_STAGE_NM,PRE_PROCESSING_DURATION,MAPPING_APROVAL_DURATION,ISF_GEN_DURATION,DART_GEN_DURATION,DART_REVIEW_DURATION,DART_UI_VALIDATION_DURATION,SPS_LOAD_DURATION,AVG_PRE_PROCESSING_DURATION,AVG_MAPPING_APROVAL_DURATION,AVG_ISF_GEN_DURATION,AVG_DART_GEN_DURATION,AVG_DART_REVIEW_DURATION,AVG_DART_UI_VALIDATION_DURATION,AVG_SPS_LOAD_DURATION,PRE_PROCESSING_HEALTH,MAPPING_APROVAL_HEALTH,ISF_GEN_HEALTH,DART_GEN_HEALTH,DART_REVIEW_HEALTH,DART_UI_VALIDATION_HEALTH,SPS_LOAD_HEALTH,IS_STUCK,IS_FAILED,FAILURE_STATUS
1,RO_1000,F_2000,R_3000,P_4000,AvailityPDM,Cedars-Sinai Medical Care Foundation,NY,Commercial PPO/EPO,3,63,RESOLVED,2,5,9,16,16,8,12,10,5,15,20,25,12,10,Green,Yellow,Red,Red,Red,Green,Red,0,1,Address Mismatch
2,RO_1001,F_2001,R_3001,P_4001,AvailityPDM,Kaiser Permanente,NY,Medicaid FFS,4,17,SPS_LOAD,8,4,25,65,31,4,1,10,5,15,20,25,12,10,Yellow,Red,Yellow,Red,Red,Red,Red,0,0,
3,RO_1002,F_2002,R_3002,P_4002,ProviderGroup,Northwestern Memorial,CA,Medicaid Managed Care,1,73,ISF_GEN,13,5,21,76,3,9,13,10,5,15,20,25,12,10,Yellow,Red,Yellow,Red,Green,Red,Red,1,0,
4,RO_1003,F_2003,R_3003,P_4003,Demographic,Norton Hospitals,KS,Medicare HMO,3,33,STOPPED,13,8,29,25,3,1,8,10,5,15,20,25,12,10,Yellow,Red,Green,Green,Red,Red,Green,1,1,Complete Validation Failure
5,RO_1004,F_2004,R_3004,P_4004,Demographic,Norton Hospitals,KS,Medicaid Managed Care,3,84,STOPPED,1,10,27,60,16,8,5,10,5,15,20,25,12,10,Red,Yellow,Red,Red,Yellow,Yellow,Red,0,1,Complete Validation Failure
6,RO_1005,F_2005,R_3005,P_4005,Demographic,Cleveland Clinic,NY,Medicaid FFS,4,77,PRE_PROCESSING,6,14,28,21,18,10,1,10,5,15,20,25,12,10,Green,Yellow,Red,Green,Red,Yellow,Green,0,1,Duplicate Record
7,RO_1006,F_2006,R_3006,P_4006,AvailityPDM,Kaiser Permanente,NY,Medicare HMO,1,92,ISF_GEN,24,4,29,62,4,3,4,10,5,15,20,25,12,10,Red,Green,Yellow,Yellow,Red,Green,Red,1,0,
8,RO_1007,F_2007,R_3007,P_4007,AvailityPDM,MercyOne Medical Group,NY,Commercial PPO/EPO,1,29,MAPPING_APPROVAL,19,11,10,14,31,1,1,10,5,15,20,25,12,10,Yellow,Red,Green,Yellow,Green,Green,Green,0,0,
9,RO_1008,F_2008,R_3008,P_4008,Salesforce,Northwestern Memorial,KS,Medicaid FFS,3,13,SPS_LOAD,16,4,25,36,21,5,6,10,5,15,20,25,12,10,Yellow,Green,Green,Green,Green,Green,Green,0,1,Network Gap
10,RO_1009,F_2009,R_3009,P_4009,AvailityPDM,Kaiser Permanente,KS,Medicaid Managed Care,2,46,RESOLVED,8,3,26,21,5,13,2,10,5,15,20,25,12,10,Yellow,Red,Yellow,Green,Yellow,Yellow,Green,1,0,
